"filename", "language", "Go Checksum File", "Go", "HTML", "Go Module File", "Markdown", "MS SQL", "sqlite3-editor-database", "JSON", "Python", "CSS", "JavaScript", "comment", "blank", "total"
"y:\github\webstress-api\assets\client\config.go", "Go", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"y:\github\webstress-api\assets\client\config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"y:\github\webstress-api\assets\client\go.mod", "Go Module File", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"y:\github\webstress-api\assets\client\message.go", "Go", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 140
"y:\github\webstress-api\assets\client\methods.go", "Go", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"y:\github\webstress-api\assets\client\methods.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"y:\github\webstress-api\assets\config\apis.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"y:\github\webstress-api\assets\config\bot.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\github\webstress-api\assets\config\config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"y:\github\webstress-api\assets\config\methods.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"y:\github\webstress-api\assets\config\plans.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 121
"y:\github\webstress-api\assets\config\servers.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"y:\github\webstress-api\assets\database.db", "sqlite3-editor-database", 0, 0, 0, 0, 0, 0, 2745, 0, 0, 0, 0, 0, 149, 2894
"y:\github\webstress-api\assets\database.sql", "MS SQL", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 9, 117
"y:\github\webstress-api\assets\html\404.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"y:\github\webstress-api\assets\html\admin\chat.html", "HTML", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 132
"y:\github\webstress-api\assets\html\admin\dashV2.html", "HTML", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 89
"y:\github\webstress-api\assets\html\admin\editUser.html", "HTML", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 113
"y:\github\webstress-api\assets\html\admin\servers.html", "HTML", 0, 0, 489, 0, 0, 0, 0, 0, 0, 0, 0, 26, 28, 543
"y:\github\webstress-api\assets\html\admin\settings.html", "HTML", 0, 0, 390, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 428
